ISO3,Year,Attack_Count,GDP_USD,GDP_per_capita_USD,Internet_Penetration,Cellular Subscription,No. of Internet Users,Broadband Subscription,Population,Population Growth,Growth Rate (%),Decade,Penetration_Index,Digital_Exposure_Index,Economic_Exposure,Connectivity_Score,Attack_Density,Growth_Adjusted_Risk,Log_Economic_Exposure,Digital_Exposure_Index_B,Log_Population,Adjusted_Threat_Index,Log_Attack_Count,Log_GDP_USD,Log_Internet_Users,GDP_Tier,Net_Group,Adjusted_Threat_Index_Norm,Attack_Density_Norm,Growth_Adjusted_Risk_Norm,Connectivity_Score_Norm,Digital_Exposure_Index_Norm,GDP_USD_Norm,Internet_Penetration_Norm
ABW,2005,,2359776536.0,23591.15984,25.39999962,103.3849487,24002.0,12.27019596,100031.0,1294.0,1.3105522752362335,2000s,,32221.26044648374,23590.452319780867,47.01838142666666,,,4.372736268062434,3.222126044648374e-05,5.000134610425852,,,9.372870878488285,4.380247431410548,Upper-Middle Income,Emerging,0.0,0.0,0.0706898433691203,0.25470447424624615,0.026544221307754835,2.7308119565343175e-05,0.2539999962
ABW,2006,,2469832402.0,24495.01539,28.0,108.128212,26774.0,13.83759403,100834.0,803.0,0.8027511471443852,2000s,,41894.56042368169,24494.043695578872,49.98860201,,,4.389060488256914,4.189456042368169e-05,5.003606995627808,,,9.392667483884722,4.427713259052271,Upper-Middle Income,Emerging,0.0,0.0,0.0706898433691203,0.2707945319878814,0.03451318998908596,2.8581722680615183e-05,0.28
ABW,2007,,2677653631.0,26452.23195,30.89999962,112.2147369,29910.0,15.80288887,101222.0,388.0,0.3847908443580538,2000s,,54795.49514547548,26453.27726186007,52.97254179666666,,,4.422479483878681,5.4795495145475476e-05,5.0052749140870025,,,9.427754397965684,4.4758164130313185,Upper-Middle Income,Developing,0.0,0.0,0.0706898433691203,0.28695890837609833,0.04514111892752584,3.098669911934547e-05,0.3089999962
ABW,2008,,2843016760.0,28048.15177,52.0,119.1874313,50963.0,18.1495285,101358.0,136.0,0.1343581434865938,2000s,,112486.17542349939,28049.25866729809,63.11231993333333,,,4.447921387483222,0.00011248617542349938,5.005858032444315,,,9.453779419927537,4.70725498536138,Upper-Middle Income,Developing,0.0,0.0,0.0706898433691203,0.3418873593543897,0.09266732254200637,3.29003362919931e-05,0.52
ABW,2009,,2553631285.0,25170.83236,58.0,126.1643066,57549.0,18.53038216,101455.0,97.0,0.0957003887211665,2000s,,135596.62334246578,25170.088068601843,67.56489625333333,,,4.400884735120905,0.0001355966233424658,5.006273455202784,,,9.40715819032369,4.760037781514809,Upper-Middle Income,Developing,0.0,0.0,0.0706898433691203,0.36600752419663757,0.11170595838622677,2.955147124853899e-05,0.58
ABW,2010,,2453631285.0,24134.47386,62.0,129.6363678,62219.0,18.90153313,101669.0,214.0,0.2109309546104184,2010s,,151920.21825112303,24133.52432894983,70.17930030999999,,,4.382620748549891,0.00015192021825112303,5.007188551927084,,,9.389809300476974,4.7939230267345625,Upper-Middle Income,Developing,0.0,0.0,0.0706898433691203,0.3801700791488773,0.12515351164110955,2.8394237961880733e-05,0.62
ABW,2012,,2615083799.0,25496.84394,74.0,131.6302643,75573.0,0.0,102560.0,514.0,0.503694412323854,2010s,,0.0,25498.08696372855,68.54342143333334,,,4.40650759799229,0.0,5.010978012174742,,,9.417485610167033,4.87836666262515,Upper-Middle Income,Advanced,0.0,0.0,0.0706898433691203,0.3713083179276455,0.0,3.0262620196035315e-05,0.74
ABW,2013,,2727932961.0,26442.4268,78.90000153,134.5495758,81181.0,18.61204529,103159.0,599.0,0.5840483619344774,2010s,,197584.76063628864,26443.96476313264,77.35387420666667,,,4.422326569787246,0.00019758476063628865,5.013507123533883,,,9.435833693321129,4.909454396720205,Upper-Middle Income,Advanced,0.0,0.0,0.0706898433691203,0.4190356465470548,0.16277245336446056,3.156854826241422e-05,0.7890000153
ABW,2014,0.0,2791061453.0,26895.05717,83.77999878,134.6194611,86802.0,18.50174332,103774.0,615.0,0.5961670818833064,2010s,0.0,208670.40019652934,26895.575510243412,78.96706773333334,0.0,0.0,4.429680841729924,0.00020867040019652934,5.016088557067908,0.0,,9.445769398797832,4.938529731846505,Upper-Middle Income,Advanced,0.0,0.0,0.0706898433691203,0.4277745183797215,0.17190492260208604,3.2299092185203614e-05,0.8377999878
ABW,2015,0.0,2963128492.0,28399.05013,88.66122437,135.1338348,92446.0,18.20952415,104341.0,567.0,0.5463796326632875,2010s,0.0,218170.69878986772,28398.50578392003,80.66819444,0.0,0.0,4.453295489805134,0.00021817069878986772,5.018454994667368,0.0,,9.471750484472503,4.965888124629755,Upper-Middle Income,Advanced,0.0,0.0,0.0706898433691203,0.4369897352864022,0.17973137088055013,3.429030923587886e-05,0.8866122437
ABW,2016,0.0,2983798883.0,28453.71556,,,,,104872.0,531.0,0.5089082910840418,2010s,0.0,,28451.816338012053,,0.0,0.0,4.454109996579822,,5.020659550455771,,,9.474769547035592,,Upper-Middle Income,Unknown,0.0,0.0,0.0706898433691203,0.0,0.0,3.452951388101327e-05,0.0
ABW,2017,0.0,3092178771.0,29348.41897,,,,,105366.0,494.0,0.471050423373255,2010s,0.0,,29347.02627982461,,0.0,0.0,4.467564100960372,,5.022700493281538,,,9.49026459424191,,Upper-Middle Income,Unknown,0.0,0.0,0.0706898433691203,0.0,0.0,3.578372202099221e-05,0.0
ABW,2018,0.0,3202234637.0,30253.71423,,,,,105845.0,479.0,0.4546058500844675,2010s,0.0,,30254.000066134442,,0.0,0.0,4.480782803510835,,5.0246703472520045,,,9.50545315076284,,Upper-Middle Income,Unknown,0.0,0.0,0.0706898433691203,0.0,0.0,3.705732513626422e-05,0.0
ABW,2019,0.0,3310055866.0,31135.88436,0.0,132.6259918,0.0,17.87158775,,,,,0.0,0.0,,50.165859850000004,,,,0.0,,,,9.51983532371251,,Upper-Middle Income,Emerging,0.0,0.0,0.0706898433691203,0.271754759957737,0.0,3.830506828833624e-05,0.0
ABW,2020,0.0,2496648045.0,23384.29879,0.0,132.0645142,0.0,17.79592705,,,,,0.0,0.0,,49.95348041666666,,,,0.0,,,,9.397357323733914,,Upper-Middle Income,Emerging,0.0,0.0,0.0706898433691203,0.27060427390810016,0.0,2.889204222744263e-05,0.0
AFG,2005,,6209137625.0,242.0313132,1.224148035,4.677582741,298829.0,0.000857557,25654277.0,927593.0,3.751384536640659,2000s,,0.004910417450772486,242.0312848808797,1.9675294443333333,,,2.3838715063646436,4.910417450772487e-12,7.409159779687761,,,9.793031286052404,5.475422741499566,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.01065835397725341,4.045254770317043e-09,7.185420741092197e-05,0.01224148035
AFG,2006,,6971285595.0,263.7336019,2.107123613,9.53490448,536114.0,0.001891571,26433049.0,778772.0,3.035641971122398,2000s,,0.03800397360384422,263.733691675145,3.8813065546666667,,,2.4211656139570454,3.800397360384422e-11,7.42214726103192,,,9.843312874988966,5.729257148473876,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.021025524813880595,3.130808267386081e-08,8.067403741335215e-05,0.02107123613
AFG,2007,,9747879532.0,359.6931579,1.899999976,17.22510529,492163.0,0.001844982,27100536.0,667487.0,2.5251986632340446,2000s,,0.06038201673277385,359.6932375064464,6.375650082666667,,,2.555932272844249,6.038201673277385e-11,7.432977880525339,,,9.988910153369588,5.692108961053432,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.034537696811541965,4.9743355565663956e-08,0.00011280570668765116,0.01899999976
AFG,2008,,10109305183.0,364.663542,1.840000033,28.49300385,486261.0,0.001803604,27722276.0,621740.0,2.2941981664126496,2000s,,0.09455777781308389,364.66360781488504,10.111602495666666,,,2.5618924243672705,9.455777781308389e-11,7.4428288829983416,,,10.004721307365612,5.686869438879299,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.05477581999420168,7.789771554122793e-08,0.00011698824462754446,0.01840000033
AFG,2009,,12416161049.0,437.2687402,3.549999952,36.97858429,972178.0,0.00352177,28394813.0,672537.0,2.425980464230282,2000s,,0.4623167379711829,437.2686324435382,13.510702004,,,2.640748324257077,4.6231673797118287e-10,7.453239012891443,,,10.093987337148521,5.987745788938988,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.07318916870827913,3.808615068727267e-07,0.00014368394858412507,0.03549999952
AFG,2010,,15856678596.0,543.3065262,4.0,35.00312805,1127587.0,0.005139537,29185507.0,790694.0,2.784642392256642,2010s,,0.7195994869148513,543.3066006357196,13.002755862333332,,,2.735044981312493,7.195994869148513e-10,7.465167242117305,,,10.200212223429798,6.052150060228289,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.07043756069811395,5.928138058205334e-07,0.0001834987628713272,0.04
AFG,2011,,17805113119.0,591.1900302,5.0,45.81362534,1462458.0,0.0,30117413.0,931906.0,3.193043725435368,2010s,,0.0,591.1899909530742,16.937875113333334,,,2.771727072696232,0.0,7.478817664471662,,,10.250544737167893,6.165083402528469,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.09175459564295751,0.0,0.00020604669574022426,0.05
AFG,2012,,19907317066.0,638.8458516,5.454545498,49.22797775,1661808.0,0.004813651,31161376.0,1043963.0,3.466310336814121,2010s,,1.292543488429619,638.8458926204029,18.229112299666667,,,2.805396106896467,1.292543488429619e-09,7.493616626664615,,,10.299012733561081,6.220580845346208,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.09874938956595092,1.0648112436122098e-06,0.00023037409956835198,0.05454545498
AFG,2013,,20146404996.0,624.3154545,5.900000095,52.0835762,1860932.0,0.004648339,32269589.0,1108213.0,3.556367343983783,2010s,,1.4284025222082988,624.3155125403053,19.329408211333334,,,2.7954041261005287,1.4284025222082989e-09,7.5087934340692675,,,10.304197560169795,6.269730503939835,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.10470983063586421,1.1767333785413716e-06,0.00023314090467869416,0.059000000950000006
AFG,2014,0.0,20497126770.0,614.2233424,7.0,55.15951538,2290135.0,0.004494948,33370794.0,1101205.0,3.412516347822093,2010s,0.0,1.7355740733681018,614.2235264165425,20.721336776,0.0,0.0,2.7883264470748195,1.7355740733681018e-09,7.523366540059536,0.0,,10.311692987134355,6.359861084098384,Low Income,Emerging,0.0,0.0,0.0706898433691203,0.11225008239473659,1.4297846099472473e-06,0.0002371995737909805,0.07
